0.365, 0.26, 0.642, 0.218, 0.853, 0.754, 0.179, 0.455, 0.786, 0.333, 0.153, 0.673, 0.21, 0.368
0.365, 0.275, 0.643, 0.218, 0.868, 0.753, 0.179, 0.482, 0.784, 0.332, 0.177, 0.673, 0.209, 0.377
0.365, 0.289, 0.643, 0.219, 0.882, 0.753, 0.18, 0.506, 0.781, 0.332, 0.211, 0.674, 0.208, 0.388
0.366, 0.301, 0.643, 0.219, 0.891, 0.753, 0.18, 0.528, 0.78, 0.331, 0.242, 0.674, 0.209, 0.404
0.366, 0.311, 0.643, 0.219, 0.914, 0.753, 0.181, 0.549, 0.778, 0.332, 0.264, 0.674, 0.21, 0.417
0.367, 0.322, 0.643, 0.219, 0.929, 0.753, 0.181, 0.577, 0.777, 0.331, 0.299, 0.674, 0.211, 0.426
0.368, 0.333, 0.643, 0.219, 0.944, 0.754, 0.182, 0.61, 0.777, 0.332, 0.331, 0.674, 0.212, 0.436
0.37, 0.345, 0.643, 0.219, 0.954, 0.751, 0.183, 0.64, 0.776, 0.332, 0.365, 0.673, 0.215, 0.45
0.371, 0.355, 0.644, 0.219, 0.96, 0.749, 0.19, 0.662, 0.773, 0.333, 0.393, 0.673, 0.223, 0.464
0.372, 0.364, 0.644, 0.219, 0.964, 0.749, 0.211, 0.686, 0.771, 0.334, 0.406, 0.671, 0.233, 0.475
0.373, 0.375, 0.644, 0.218, 0.968, 0.748, 0.216, 0.708, 0.772, 0.335, 0.415, 0.671, 0.235, 0.483
0.373, 0.385, 0.643, 0.218, 0.972, 0.747, 0.215, 0.764, 0.771, 0.337, 0.426, 0.667, 0.24, 0.503
0.374, 0.393, 0.643, 0.218, 0.975, 0.747, 0.214, 0.782, 0.77, 0.34, 0.428, 0.666, 0.241, 0.511
0.374, 0.399, 0.642, 0.217, 0.977, 0.746, 0.212, 0.794, 0.769, 0.343, 0.43, 0.664, 0.242, 0.52
0.374, 0.405, 0.642, 0.217, 0.978, 0.746, 0.208, 0.803, 0.769, 0.346, 0.431, 0.663, 0.243, 0.526
0.374, 0.419, 0.642, 0.217, 0.978, 0.746, 0.203, 0.81, 0.768, 0.348, 0.433, 0.662, 0.244, 0.531
0.374, 0.427, 0.641, 0.217, 0.979, 0.745, 0.195, 0.814, 0.767, 0.352, 0.437, 0.661, 0.246, 0.536
0.374, 0.434, 0.641, 0.217, 0.98, 0.745, 0.187, 0.818, 0.766, 0.354, 0.44, 0.66, 0.25, 0.54
0.374, 0.439, 0.641, 0.217, 0.98, 0.745, 0.181, 0.82, 0.765, 0.355, 0.443, 0.659, 0.253, 0.543
0.374, 0.443, 0.64, 0.217, 0.98, 0.744, 0.178, 0.822, 0.763, 0.356, 0.446, 0.659, 0.256, 0.546
0.375, 0.447, 0.64, 0.217, 0.98, 0.744, 0.178, 0.823, 0.762, 0.357, 0.448, 0.658, 0.258, 0.548
0.375, 0.45, 0.64, 0.217, 0.98, 0.744, 0.177, 0.824, 0.761, 0.358, 0.45, 0.658, 0.262, 0.549
0.375, 0.452, 0.64, 0.217, 0.981, 0.743, 0.176, 0.825, 0.76, 0.359, 0.452, 0.658, 0.266, 0.551
0.375, 0.455, 0.64, 0.217, 0.981, 0.743, 0.175, 0.825, 0.759, 0.361, 0.454, 0.657, 0.271, 0.551
0.375, 0.459, 0.64, 0.217, 0.98, 0.743, 0.176, 0.826, 0.758, 0.362, 0.455, 0.657, 0.275, 0.552
0.375, 0.462, 0.639, 0.217, 0.981, 0.742, 0.176, 0.826, 0.757, 0.363, 0.456, 0.657, 0.279, 0.552
0.375, 0.463, 0.639, 0.217, 0.981, 0.741, 0.176, 0.827, 0.756, 0.364, 0.457, 0.657, 0.283, 0.553
0.375, 0.463, 0.639, 0.217, 0.981, 0.741, 0.176, 0.827, 0.755, 0.365, 0.458, 0.657, 0.288, 0.553
0.375, 0.463, 0.639, 0.217, 0.981, 0.74, 0.176, 0.828, 0.754, 0.367, 0.458, 0.657, 0.291, 0.553
0.375, 0.464, 0.639, 0.217, 0.981, 0.74, 0.176, 0.829, 0.754, 0.368, 0.458, 0.656, 0.293, 0.553
0.375, 0.464, 0.639, 0.217, 0.981, 0.74, 0.176, 0.83, 0.754, 0.368, 0.458, 0.656, 0.295, 0.553
0.375, 0.465, 0.639, 0.217, 0.981, 0.739, 0.176, 0.83, 0.753, 0.369, 0.458, 0.656, 0.297, 0.553
0.375, 0.465, 0.639, 0.217, 0.981, 0.739, 0.176, 0.831, 0.753, 0.37, 0.458, 0.656, 0.297, 0.553
0.375, 0.465, 0.639, 0.217, 0.981, 0.739, 0.175, 0.831, 0.753, 0.369, 0.458, 0.657, 0.296, 0.553
0.375, 0.464, 0.639, 0.217, 0.981, 0.739, 0.175, 0.831, 0.753, 0.368, 0.457, 0.656, 0.293, 0.552
0.375, 0.464, 0.638, 0.217, 0.981, 0.739, 0.174, 0.831, 0.754, 0.368, 0.457, 0.657, 0.291, 0.552
0.375, 0.464, 0.639, 0.217, 0.981, 0.739, 0.174, 0.831, 0.754, 0.368, 0.457, 0.657, 0.292, 0.552
